Applicant_ID,Full_Name,Employer_Name,Age,Employment_Type,Monthly_Net_Income,Total_Existing_EMIs,Is_First_Loan,CIBIL_Score,Requested_Loan_Amount,Requested_Tenure_Months,Average_Monthly_Bank_Balance,Number_of_Bounced_Transactions_Last_6M,Default_Probability,Default
APP00001,Allison Hill,Jacobson-Baker,41,Salaried,85244.51,20363.79,0,713.0,1297180.27,48,87075.18,2,0.0552,0
APP00002,Noah Rhodes,"Stephens, Lopez and Mcclure",28,Salaried,77678.15,15531.45,0,687.0,2882070.7,36,120990.69,1,0.0261,0
APP00003,Angie Henderson,Lopez-Williams,46,Salaried,83934.28,14860.4,0,764.0,1210659.09,24,145391.13,1,0.0066,0
APP00004,Daniel Wagner,Marshall-Perez,47,Salaried,116759.19,44104.91,0,596.0,2428497.73,48,223157.75,3,0.9132,1
APP00005,Cristian Santos,Elliott-Hernandez,21,Salaried,57218.29,1698.85,0,666.0,2274517.88,24,94648.3,0,0.0019,0
APP00006,Connie Lawrence,"Contreras, Miller and Cooper",25,Salaried,69547.29,29180.54,0,450.0,1491845.37,24,120944.32,3,0.9908,1
APP00007,Abigail Shaffer,"Gutierrez, Avila and Perez",39,Salaried,80084.07,25491.96,0,668.0,3453651.48,84,115365.98,2,0.4913,1
APP00008,Gina Moore,Randall PLC,35,Salaried,63864.3,15739.21,1,,4302148.45,36,120293.5,0,0.0943,0
APP00009,Gabrielle Davis,Sheppard-Mcdaniel,38,Salaried,54358.39,3072.76,0,765.0,1305930.57,60,115435.04,0,0.0009,0
APP00010,Ryan Munoz,Armstrong-Young,29,Salaried,166839.21,31318.72,1,,3075045.32,120,343723.1,0,0.0026,0
APP00011,Monica Herrera,Miller-Orr,47,Salaried,61707.72,3189.29,0,703.0,3796048.48,24,153784.24,0,0.019,0
APP00012,Jamie Arnold,"Johnson, Duncan and Black",46,Salaried,56044.27,11470.83,1,,2220260.57,36,93162.27,0,0.0566,0
APP00013,Lisa Hensley,"Byrd, Oliver and Martinez",39,Self-Employed,86042.97,19439.38,0,624.0,5589064.23,36,75040.7,2,0.5993,0
APP00014,Michele Williams,Thompson-Joyce,49,Self-Employed,82004.56,14020.04,0,734.0,2490265.01,48,164920.65,1,0.0265,0
APP00015,Dylan Miller,Stokes and Sons,43,Salaried,38875.18,5586.68,0,665.0,1930227.2,120,24997.32,2,0.272,0
APP00016,Brian Ramirez,Henderson Ltd,29,Salaried,102091.26,14830.63,0,681.0,6880829.53,84,99162.4,3,0.1374,0
APP00017,Holly Wood,Harris-Carson,42,Salaried,69323.38,6269.6,0,772.0,1546032.66,60,164173.76,0,0.0012,0
APP00018,Derek Zuniga,Flowers LLC,28,Salaried,36864.89,3268.31,0,794.0,2213504.72,24,55934.96,0,0.0018,0
APP00019,Lisa Jackson,Bartlett-Sloan,47,Salaried,129119.69,16929.38,0,706.0,6441910.87,60,210556.29,2,0.0612,0
APP00020,Carla Gray,Miller PLC,38,Salaried,91471.07,17157.98,0,658.0,5559319.45,36,246064.51,1,0.1493,0
APP00021,Margaret Hawkins DDS,Arnold-Gates,36,Salaried,38138.72,10605.32,1,,848266.26,48,35723.38,0,0.0517,0
APP00022,Patty Perez,"Ellis, Marks and Buchanan",31,Self-Employed,199499.74,29787.37,0,736.0,7590005.18,36,101326.92,2,0.0061,0
APP00023,Ethan Adams,"Matthews, Harrington and Rodriguez",50,Salaried,101722.22,19778.62,1,,2007003.11,24,71485.63,2,0.0784,0
APP00024,Tommy Walter,Hernandez PLC,36,Salaried,67066.57,24526.28,0,684.0,4668164.0,12,60900.57,0,0.4313,0
APP00025,Matthew Foster,"Chang, Ayers and Buckley",34,Self-Employed,181875.49,16937.26,0,683.0,2866631.21,24,401402.21,2,0.0055,0
APP00026,Judy Baker,"Chan, Floyd and Dillon",34,Self-Employed,66798.3,4152.67,0,734.0,1064030.39,12,157892.8,0,0.0009,0
APP00027,Justin Baker,Humphrey-Baker,43,Salaried,72231.39,10801.78,0,667.0,4759281.02,24,127895.03,0,0.0954,0
APP00028,Stephanie Ross,"Washington, Lynch and Johnson",42,Salaried,53733.4,5178.42,0,624.0,1614459.2,48,58182.45,0,0.0417,0
APP00029,Zachary Hicks,Powell-Montgomery,42,Salaried,93972.53,25230.92,0,726.0,4493879.53,84,146797.02,1,0.0921,0
APP00030,Anthony Rodriguez,"Steele, Williams and Preston",42,Salaried,89625.62,24380.3,0,752.0,2621417.71,24,41613.35,1,0.0329,0
APP00031,Rebecca Henderson,Vaughn-Williams,59,Self-Employed,69460.12,16758.96,0,606.0,3537291.73,84,134652.43,0,0.7001,0
APP00032,James Ferrell,Mccall-Prince,34,Salaried,46061.87,10943.56,0,721.0,1084672.4,24,82631.03,1,0.0323,0
APP00033,Tricia Valencia,Morgan LLC,33,Salaried,68807.73,17653.38,0,747.0,2720118.61,60,33258.97,2,0.0525,0
APP00034,Nathan Maldonado,Ramirez-Vasquez,30,Salaried,60494.74,3642.18,1,,2662345.01,36,149179.45,0,0.0034,0
APP00035,Debra Davidson,"Cohen, Compton and Perez",44,Salaried,40595.77,7730.23,0,681.0,1299818.49,24,88468.21,1,0.1219,0
APP00036,Jeffrey Chavez,Mccann-Ramos,49,Self-Employed,24537.64,4635.95,0,635.0,665019.9,24,28231.4,2,0.574,0
APP00037,Sherri Baker,Adams-Butler,37,Salaried,87949.57,12285.34,0,719.0,1795261.81,12,170848.93,1,0.0066,0
APP00038,Cassandra Gaines,"Davis, Alexander and Mcintyre",30,Salaried,19358.2,940.72,0,758.0,1052479.39,24,37846.17,0,0.0036,0
APP00039,Elizabeth Fowler,Figueroa-Malone,30,Self-Employed,65525.74,11911.11,0,713.0,1447919.82,36,51108.28,1,0.01,0
APP00040,Brittany Farmer,Nicholson-Robertson,45,Self-Employed,48659.62,8470.44,0,653.0,1436801.04,36,43675.77,4,0.5579,0
APP00041,Paula Moreno,Jones Ltd,45,Salaried,134764.51,19845.12,0,633.0,4341374.68,48,275652.94,2,0.1436,0
APP00042,Fred Smith,"Powell, Deleon and Warren",43,Salaried,58583.4,5544.99,0,746.0,2300102.03,36,158161.36,1,0.0098,0
APP00043,Sherry Decker,"Johnson, Lee and Whitaker",31,Salaried,85103.06,9476.49,0,747.0,4608681.64,84,155964.87,1,0.0058,0
APP00044,Anthony Humphrey,Wright Group,40,Salaried,59114.76,5135.97,1,,2227249.63,12,108543.39,0,0.0083,0
APP00045,Angelica Tucker,Hull Ltd,39,Salaried,73518.48,15854.5,1,,4724710.27,24,138837.23,2,0.2348,0
