Applicant_ID,Full_Name,Employer_Name,Age,Employment_Type,Monthly_Net_Income,Gross_Income,Total_Deductions,Total_Existing_EMIs,Is_First_Loan,CIBIL_Score,Requested_Loan_Amount,Requested_Tenure_Months,Average_Monthly_Bank_Balance,Number_of_Bounced_Transactions_Last_6M,Cash_Flow_Month_1,Cash_Flow_Month_2,Cash_Flow_Month_3,Cash_Flow_Month_4,Cash_Flow_Month_5,Cash_Flow_Month_6
APP00001,Allison Hill,Silva Group,41,Self-Employed,21399.16,23993.03,2593.87,4433.79,0,577.0,555132.76,48,20703.39,5,21485.38,21172.58,20859.79,20546.99,20234.19,19921.39
APP00002,Noah Rhodes,Williams and Sons,28,Salaried,112869.67,151729.88,38860.21,25850.47,1,,4182486.87,120,212622.6,0,182333.33,194449.03,206564.74,218680.45,230796.16,242911.86
APP00003,Angie Henderson,Ellis Group,46,Self-Employed,170218.99,187107.64,16888.65,34289.33,0,592.0,3506608.99,36,86934.38,2,89605.18,88536.86,87468.54,86400.21,85331.89,84263.57
APP00004,Daniel Wagner,Walker-Thompson,47,Salaried,206879.65,255108.21,48228.56,67841.37,0,594.0,1684764.91,48,195327.84,3,209899.93,204071.09,198242.25,192413.42,186584.58,180755.75
APP00005,Cristian Santos,Hicks-Hughes,21,Salaried,86706.72,109283.45,22576.74,16933.56,1,,1423671.19,48,157528.43,0,163578.63,161158.55,158738.47,156318.39,153898.31,151478.23
APP00006,Connie Lawrence,"Gonzales, Moore and Adams",25,Salaried,70977.12,88566.12,17589.0,7631.58,0,763.0,2149056.86,60,171674.87,2,161764.38,165728.57,169692.77,173656.97,177621.16,181585.36
APP00007,Abigail Shaffer,Oliver-Harrison,39,Salaried,124881.25,156697.47,31816.22,8097.44,0,687.0,910678.59,12,269207.62,1,238711.83,250910.15,263108.46,275306.78,287505.1,299703.41
APP00008,Gina Moore,"Richard, Brewer and Cox",35,Salaried,50216.28,61582.98,11366.7,3519.59,0,746.0,687419.16,48,98344.05,0,103161.22,101234.35,99307.49,97380.62,95453.76,93526.89
APP00009,Gabrielle Davis,"Wallace, Gonzalez and Tate",38,Salaried,57773.57,79199.85,21426.28,9478.76,0,742.0,809126.25,24,49695.59,0,46005.45,47481.5,48957.56,50433.62,51909.68,53385.74
APP00010,Ryan Munoz,Owens-Wilson,29,Salaried,59844.63,70585.3,10740.67,11047.45,0,622.0,511667.73,24,133228.09,2,134649.34,134080.84,133512.34,132943.84,132375.34,131806.84
APP00011,Monica Herrera,"Rogers, Byrd and Davis",47,Salaried,140019.77,172213.6,32193.84,3175.39,1,,6865334.51,84,163299.14,0,136365.13,147138.74,157912.34,168685.94,179459.55,190233.15
APP00012,Jamie Arnold,Lowe-Harris,46,Self-Employed,37764.21,44747.25,6983.04,9474.76,0,637.0,532137.88,36,78838.73,1,78052.1,78366.76,78681.41,78996.06,79310.71,79625.37
APP00013,Lisa Hensley,Cross Group,39,Salaried,45305.22,56146.61,10841.39,10168.52,0,764.0,51692.28,24,56541.62,2,57887.13,57348.92,56810.72,56272.51,55734.31,55196.11
APP00014,Michele Williams,Montoya PLC,49,Salaried,84118.71,115045.72,30927.01,21679.87,0,615.0,619109.48,84,118088.88,3,123743.96,121481.92,119219.89,116957.86,114695.83,112433.8
APP00015,Dylan Miller,Romero-Russell,43,Salaried,101028.32,120570.89,19542.57,16969.18,0,647.0,351479.44,24,253382.96,2,267508.61,261858.35,256208.09,250557.83,244907.57,239257.31
APP00016,Brian Ramirez,"Watts, Dillon and Parks",29,Business Owner,40048.75,44667.66,4618.91,3503.99,0,754.0,900251.95,48,35163.21,0,35223.83,35199.58,35175.33,35151.09,35126.84,35102.6
APP00017,Holly Wood,Webster-Johnson,42,Self-Employed,105125.22,117191.12,12065.9,36958.27,0,701.0,1138585.24,84,174809.72,2,188409.71,182969.72,177529.72,172089.72,166649.73,161209.73
APP00018,Derek Zuniga,"Cooper, Jacobs and Gonzalez",28,Business Owner,229837.39,270301.88,40464.49,24091.99,1,,11618073.61,240,541740.54,2,566035.41,556317.46,546599.51,536881.57,527163.62,517445.67
APP00019,Lisa Jackson,Mason-Downs,47,Business Owner,247951.57,280570.12,32618.55,26799.66,1,,2362716.12,84,252671.22,2,256078.03,254715.31,253352.59,251989.86,250627.14,249264.41
APP00020,Carla Gray,Atkins-Meyers,38,Salaried,80919.15,111356.93,30437.78,13356.25,0,750.0,1791150.34,84,111502.42,0,85851.38,96111.8,106372.21,116632.63,126893.05,137153.46
APP00021,Margaret Hawkins DDS,"Carter, Lewis and Terry",36,Self-Employed,57486.23,66176.77,8690.54,9204.21,0,687.0,321065.69,36,67051.45,0,61091.26,63475.34,65859.42,68243.49,70627.57,73011.65
APP00022,Patty Perez,Haney Group,31,Salaried,138120.4,190918.4,52798.0,19609.07,0,597.0,546232.34,60,306187.44,1,315976.09,312060.63,308145.17,304229.71,300314.25,296398.79
APP00023,Ethan Adams,Nelson-Crawford,50,Business Owner,90552.92,99820.91,9268.0,18130.7,0,748.0,6833003.53,180,165872.72,1,171624.85,169324.0,167023.14,164722.29,162421.44,160120.58
APP00024,Tommy Walter,Reyes and Sons,36,Salaried,102866.66,125833.0,22966.34,5887.42,0,743.0,141957.99,12,170438.08,1,150302.83,158356.93,166411.03,174465.13,182519.23,190573.33
APP00025,Matthew Foster,Foster-Vasquez,34,Salaried,158650.88,209438.91,50788.04,19241.99,0,738.0,381864.88,36,392665.41,0,371321.45,379859.04,388396.62,396934.2,405471.79,414009.37
APP00026,Judy Baker,Dyer-Hubbard,34,Business Owner,157986.77,188370.29,30383.51,11976.12,0,635.0,333829.2,36,194089.05,1,176476.22,183521.35,190566.48,197611.61,204656.75,211701.88
APP00027,Justin Baker,Wheeler-Stokes,43,Self-Employed,33090.23,38016.65,4926.42,443.66,0,879.0,177607.59,24,33510.74,0,33263.78,33362.56,33461.35,33560.13,33658.91,33757.69
APP00028,Stephanie Ross,Moss-Holmes,42,Business Owner,29816.28,34128.64,4312.36,2368.54,1,,133769.28,36,70461.16,1,69618.28,69955.44,70292.59,70629.74,70966.89,71304.04
APP00029,Zachary Hicks,"Figueroa, Cruz and Green",42,Salaried,63258.95,78923.48,15664.53,12267.42,0,653.0,1424419.31,60,75012.69,2,78773.66,77269.27,75764.88,74260.49,72756.11,71251.72
APP00030,Anthony Rodriguez,"Schultz, Compton and Garner",42,Salaried,99528.54,127699.93,28171.38,17924.22,0,776.0,557776.39,36,137183.53,0,122749.11,128522.88,134296.65,140070.41,145844.18,151617.95
APP00031,Rebecca Henderson,Gomez-Fuller,59,Salaried,92382.78,113863.75,21480.97,10778.49,1,,2720847.36,84,163560.15,0,151600.29,156384.23,161168.18,165952.13,170736.08,175520.02
APP00032,James Ferrell,"Allen, Nash and Meadows",34,Salaried,177445.99,215989.86,38543.86,22319.97,0,723.0,5016183.35,60,492135.74,1,469133.1,478334.16,487535.21,496736.27,505937.33,515138.39
