Applicant_ID,Full_Name,Employer_Name,Age,Employment_Type,Monthly_Net_Income,Gross_Income,Total_Deductions,Total_Existing_EMIs,Is_First_Loan,CIBIL_Score,Requested_Loan_Amount,Requested_Tenure_Months,Average_Monthly_Bank_Balance,Number_of_Bounced_Transactions_Last_6M,Cash_Flow_Month_1,Cash_Flow_Month_2,Cash_Flow_Month_3,Cash_Flow_Month_4,Cash_Flow_Month_5,Cash_Flow_Month_6
APP00001,Chris Curtis,Thompson-Valentine,38,Salaried,42014.33,51054.31,9039.97,1871.32,1,,775548.08,12,91065.72,3,98645.85,95613.8,92581.75,89549.7,86517.65,83485.6
APP00002,Joshua Diaz,"Parrish, Williams and James",41,Salaried,71630.68,90957.66,19326.97,27422.67,0,625.0,3095430.29,36,125657.58,4,134234.3,130803.61,127372.93,123942.24,120511.55,117080.87
APP00003,Jordan Johnson,Martinez-Moore,35,Salaried,91748.56,125746.37,33997.81,10999.98,0,822.0,6116920.75,84,138982.7,0,147221.05,143925.71,140630.37,137335.03,134039.68,130744.34
APP00004,Benjamin Davis,Brooks-Diaz,29,Salaried,76431.64,91169.09,14737.44,13254.52,0,699.0,2156223.36,36,181709.29,0,181811.75,181770.76,181729.78,181688.8,181647.82,181606.84
APP00005,Ronald Martinez,"Pratt, Boyd and Chavez",33,Self-Employed,212290.69,243985.68,31694.99,36272.7,1,,3668758.07,48,532610.21,3,558086.15,547895.77,537705.4,527515.02,517324.64,507134.27
APP00006,Mark Meza,Hill LLC,28,Salaried,112699.18,141602.93,28903.76,40925.43,1,,1748317.23,12,154832.41,2,175769.75,167394.81,159019.88,150644.94,142270.01,133895.07
APP00007,Jennifer Cherry,Neal-Cole,39,Self-Employed,43533.27,49489.8,5956.53,5639.25,0,681.0,2701598.51,48,50973.05,0,51565.87,51328.74,51091.62,50854.49,50617.36,50380.24
APP00008,Scott Roberts,Cross-Thompson,51,Salaried,72650.17,91539.61,18889.44,14938.3,0,663.0,4941865.09,120,185245.67,0,208379.57,199126.01,189872.45,180618.89,171365.33,162111.77
APP00009,Bruce Parker,"Hernandez, Frazier and Richardson",33,Self-Employed,24057.78,27875.45,3817.66,2087.84,0,697.0,954465.96,36,51765.69,1,53355.92,52719.83,52083.74,51447.65,50811.56,50175.46
APP00010,Catherine Perkins,"Keller, Dean and Mills",32,Salaried,71686.91,98219.92,26533.02,13574.73,1,,2177027.11,24,91445.72,0,103549.97,98708.27,93866.57,89024.87,84183.17,79341.47
APP00011,Jacqueline Kelley,King-Hawkins,43,Salaried,78294.05,92840.9,14546.85,30165.18,0,679.0,2806903.02,48,57501.49,4,67104.66,63263.39,59422.12,55580.85,51739.58,47898.31
APP00012,Anthony Harris,Duncan Inc,42,Self-Employed,436285.86,485476.63,49190.77,148194.11,0,595.0,9898084.45,48,538397.98,4,569184.63,556869.97,544555.31,532240.65,519926.0,507611.34
APP00013,Jessica Edwards,"White, Robbins and Hill",39,Salaried,72985.36,95943.64,22958.28,13560.2,0,765.0,2786398.61,36,106577.77,1,109535.58,108352.46,107169.33,105986.21,104803.09,103619.97
APP00014,Jody Evans,Scott-Baker,29,Salaried,24015.47,30796.84,6781.36,5292.81,0,708.0,968159.7,12,54159.36,0,55502.64,54965.33,54428.01,53890.7,53353.39,52816.08
APP00015,Melissa Sanchez,Davis-Fields,38,Salaried,51010.42,67462.95,16452.53,4733.69,0,678.0,2245099.78,48,109670.67,1,112837.76,111570.92,110304.09,109037.25,107770.42,106503.59
APP00016,Kelly Golden,Harris Group,45,Self-Employed,73563.73,87154.8,13591.07,5762.2,0,762.0,1346597.01,12,125515.79,0,113332.61,118205.88,123079.15,127952.42,132825.69,137698.96
APP00017,Donna Baird,Williamson-Watson,25,Salaried,33128.54,44574.34,11445.8,5293.62,0,670.0,2334437.5,60,84433.92,0,83788.41,84046.61,84304.82,84563.03,84821.23,85079.44
APP00018,Jason Sherman,Love Group,33,Salaried,43930.29,54340.97,10410.67,16210.88,0,570.0,2177175.88,12,70302.33,2,73424.89,72175.87,70926.84,69677.82,68428.8,67179.77
APP00019,John Williams,Williams-Mullins,21,Self-Employed,38709.22,43340.97,4631.75,12595.45,0,746.0,1794558.58,36,86189.37,2,95841.85,91980.86,88119.87,84258.88,80397.88,76536.89
APP00020,Pamela Berry,Jordan-Lawson,25,Salaried,67993.85,88381.7,20387.84,7608.58,0,623.0,4188297.28,48,42439.93,0,43932.23,43335.31,42738.39,42141.47,41544.56,40947.64
APP00021,Emily Dominguez,Gomez-Cruz,21,Salaried,51056.32,60573.02,9516.7,7779.27,0,743.0,762280.35,24,32989.22,1,36137.22,34878.02,33618.82,32359.63,31100.43,29841.23
APP00022,Lauren Bryant,"Anderson, Montgomery and Levine",36,Salaried,45155.83,58435.07,13279.24,5406.96,0,625.0,2130567.27,36,112452.48,1,117893.03,115716.81,113540.59,111364.37,109188.15,107011.92
APP00023,Theresa Wells,"Carpenter, Brown and Harris",25,Salaried,83101.16,108006.47,24905.31,6014.35,1,,2839219.56,24,187264.1,0,195371.29,192128.41,188885.54,185642.66,182399.79,179156.91
APP00024,Amy Miles,Miller Group,41,Salaried,56084.56,71266.47,15181.91,8355.82,0,684.0,2830385.89,24,59581.33,2,60749.44,60282.19,59814.95,59347.71,58880.46,58413.22
APP00025,Wendy Short,Long-Perry,40,Salaried,56452.69,76388.38,19935.7,8646.15,0,699.0,3855356.89,84,41765.59,0,41228.97,41443.62,41658.27,41872.92,42087.57,42302.22
APP00026,James Barnett,"Sherman, Johnson and Watkins",36,Salaried,36213.46,43046.24,6832.78,14942.1,0,527.0,585982.91,60,19520.31,2,21611.49,20775.02,19938.54,19102.07,18265.6,17429.13
APP00027,Joel Jackson,Mcconnell-Haynes,21,Salaried,38614.43,45563.75,6949.32,162.89,0,741.0,864727.24,12,50085.23,0,51443.23,50900.03,50356.83,49813.63,49270.43,48727.23
APP00028,Anthony Tate,Perry-Wells,33,Self-Employed,93109.62,111203.43,18093.8,5863.55,0,737.0,3078958.8,24,244752.3,0,281613.12,266868.79,252124.46,237380.13,222635.8,207891.47
